city,state_id,state_name
Waco,TX,Texas
Lorain,OH,Ohio
Erie,PA,Pennsylvania
Newport News,VA,Virginia
Aurora,IL,Illinois
Fort Lauderdale,FL,Florida
Vallejo,CA,California
Murfreesboro,TN,Tennessee
Spring Hill,FL,Florida
Tempe,AZ,Arizona
High Point,NC,North Carolina
Medford,OR,Oregon
Danbury,CT,Connecticut
Elk Grove,CA,California
Ontario,CA,California
Frederick,MD,Maryland
Vero Beach South,FL,Florida
Ocala,FL,Florida
Oceanside,CA,California
Rancho Cucamonga,CA,California
Garden Grove,CA,California
Cary,NC,North Carolina
Pembroke Pines,FL,Florida
Bayamón,PR,Puerto Rico
Palmdale,CA,California
Manchester,NH,New Hampshire
Lafayette,IN,Indiana
Santa Cruz,CA,California
Marysville,WA,Washington
Muskegon,MI,Michigan
Springfield,IL,Illinois
Hayward,CA,California
New Bedford,MA,Massachusetts
Alexandria,VA,Virginia
Paterson,NJ,New Jersey
Corona,CA,California
Merced,CA,California
Warner Robins,GA,Georgia
Port Arthur,TX,Texas
Macon,GA,Georgia
Kansas City,KS,Kansas
Lakewood,CO,Colorado
Sunnyvale,CA,California
Fredericksburg,VA,Virginia
Leesburg,FL,Florida
Champaign,IL,Illinois
Hollywood,FL,Florida
Pasadena,TX,Texas
Pomona,CA,California
Escondido,CA,California
Joliet,IL,Illinois
Lake Charles,LA,Louisiana
Mesquite,TX,Texas
Mauldin,SC,South Carolina
Panama City,FL,Florida
Bellevue,WA,Washington
Naperville,IL,Illinois
Harlingen,TX,Texas
Tuscaloosa,AL,Alabama
Elkhart,IN,Indiana
Torrance,CA,California
Binghamton,NY,New York
Houma,LA,Louisiana
Topeka,KS,Kansas
Roseville,CA,California
Fairfield,CA,California
Tyler,TX,Texas
Fullerton,CA,California
Pueblo,CO,Colorado
Athens,GA,Georgia
Santa Maria,CA,California
Surprise,AZ,Arizona
Charleston,WV,West Virginia
Las Cruces,NM,New Mexico
Metairie,LA,Louisiana
Thornton,CO,Colorado
Olathe,KS,Kansas
Carolina,PR,Puerto Rico
Gainesville,GA,Georgia
West Valley City,UT,Utah
Orange,CA,California
Warren,MI,Michigan
Pasadena,CA,California
Beaumont,TX,Texas
Burlington,NC,North Carolina
Hampton,VA,Virginia
Columbia,MO,Missouri
Yuma,AZ,Arizona
Elizabeth,NJ,New Jersey
Racine,WI,Wisconsin
Greeley,CO,Colorado
Kent,WA,Washington
Stamford,CT,Connecticut
Odessa,TX,Texas
Bloomington,IL,Illinois
Miramar,FL,Florida
Grand Junction,CO,Colorado
Sterling Heights,MI,Michigan
Coral Springs,FL,Florida
Johnson City,TN,Tennessee
Carrollton,TX,Texas
Midland,TX,Texas
Yakima,WA,Washington
Bellingham,WA,Washington
Yuba City,CA,California
South Lyon,MI,Michigan
Santa Clara,CA,California
St. George,UT,Utah
Fort Smith,AR,Arkansas
Simi Valley,CA,California
Dover,DE,Delaware
Norman,OK,Oklahoma
Abilene,TX,Texas
Billings,MT,Montana
Ponce,PR,Puerto Rico
Lehigh Acres,FL,Florida
St. Cloud,MN,Minnesota
Arecibo,PR,Puerto Rico
Kenosha,WI,Wisconsin
Greenville,NC,North Carolina
Arvada,CO,Colorado
Pearland,TX,Texas
Independence,MO,Missouri
Texas City,TX,Texas
Redding,CA,California
Lynchburg,VA,Virginia
Boulder,CO,Colorado
Iowa City,IA,Iowa
Rochester,MN,Minnesota
Berkeley,CA,California
Waldorf,MD,Maryland
The Villages,FL,Florida
Duluth,MN,Minnesota
East Los Angeles,CA,California
Saginaw,MI,Michigan
Clovis,CA,California
Leominster,MA,Massachusetts
Round Rock,TX,Texas
Monroe,LA,Louisiana
Cambridge,MA,Massachusetts
Clearwater,FL,Florida
Seaside,CA,California
West Jordan,UT,Utah
Richardson,TX,Texas
West Palm Beach,FL,Florida
Temple,TX,Texas
Burlington,VT,Vermont
Richmond,CA,California
Westminster,CO,Colorado
Pottstown,PA,Pennsylvania
Brandon,FL,Florida
Rock Hill,SC,South Carolina
Meridian,ID,Idaho
Coeur d'Alene,ID,Idaho
Carlsbad,CA,California
Lowell,MA,Massachusetts
Waterloo,IA,Iowa
North Charleston,SC,South Carolina
Gilroy,CA,California
Downey,CA,California
Gresham,OR,Oregon
Elgin,IL,Illinois
Utica,NY,New York
Broken Arrow,OK,Oklahoma
Costa Mesa,CA,California
Chico,CA,California
Sioux City,IA,Iowa
League City,TX,Texas
Miami Gardens,FL,Florida
Pompano Beach,FL,Florida
San Buenaventura,CA,California
Everett,WA,Washington
El Centro,CA,California
Sugar Land,TX,Texas
El Monte,CA,California
Lewisville,TX,Texas
West Covina,CA,California
Temecula,CA,California
Bend,OR,Oregon
Salisbury,MD,Maryland
Jacksonville,NC,North Carolina
Inglewood,CA,California
Dearborn,MI,Michigan
Centennial,CO,Colorado
Burbank,CA,California
Sparks,NV,Nevada
Sandy Springs,GA,Georgia
Bloomington,IN,Indiana
Logan,UT,Utah
Kailua,HI,Hawaii
El Cajon,CA,California
Hillsboro,OR,Oregon
South Fulton,GA,Georgia
Renton,WA,Washington
Mandeville,LA,Louisiana
San Mateo,CA,California
Columbia,MD,Maryland
Daly City,CA,California
Davie,FL,Florida
Jurupa Valley,CA,California
Brockton,MA,Massachusetts
Longmont,CO,Colorado
Rialto,CA,California
San Germán,PR,Puerto Rico
Eau Claire,WI,Wisconsin
Turlock,CA,California
Norwalk,CA,California
Highlands Ranch,CO,Colorado
Allen,TX,Texas
Wichita Falls,TX,Texas
Rio Rancho,NM,New Mexico
Vacaville,CA,California
Spokane Valley,WA,Washington
Charlottesville,VA,Virginia
Idaho Falls,ID,Idaho
Menifee,CA,California
Lee's Summit,MO,Missouri
Quincy,MA,Massachusetts
San Angelo,TX,Texas
Lynn,MA,Massachusetts
Holland,MI,Michigan
Federal Way,WA,Washington
Manteca,CA,California
Lafayette,CO,Colorado
Santa Fe,NM,New Mexico
Hesperia,CA,California
La Crosse,WI,Wisconsin
Riverview,FL,Florida
Kingsport,TN,Tennessee
Edinburg,TX,Texas
Vista,CA,California
Bowling Green,KY,Kentucky
Carmel,IN,Indiana
Longview,TX,Texas
Tracy,CA,California
Prescott Valley,AZ,Arizona
Beaverton,OR,Oregon
Portsmouth,NH,New Hampshire
Portsmouth,VA,Virginia
Fishers,IN,Indiana
Orem,UT,Utah
Sandy,UT,Utah
Sunrise,FL,Florida
San Tan Valley,AZ,Arizona
Compton,CA,California
Arden-Arcade,CA,California
Hanford,CA,California
Boca Raton,FL,Florida
Middletown,OH,Ohio
Livonia,MI,Michigan
Carson,CA,California
Lawrence,KS,Kansas
Slidell,LA,Louisiana
Blacksburg,VA,Virginia
San Marcos,CA,California
Goodyear,AZ,Arizona
Edmond,OK,Oklahoma
Mayagüez,PR,Puerto Rico
Fall River,MA,Massachusetts
South Gate,CA,California
Suffolk,VA,Virginia
Terre Haute,IN,Indiana
Missoula,MT,Montana
Santa Monica,CA,California
Roswell,GA,Georgia
Vineland,NJ,New Jersey
Plantation,FL,Florida
Alafaya,FL,Florida
Kirkland,WA,Washington
Hoover,AL,Alabama
Westminster,CA,California
Lawton,OK,Oklahoma
San Leandro,CA,California
Auburn,AL,Alabama
Norwalk,CT,Connecticut
O'Fallon,MO,Missouri
Chino,CA,California
Germantown,MD,Maryland
Dover,NH,New Hampshire
Bismarck,ND,North Dakota
Waukegan,IL,Illinois
Buckeye,AZ,Arizona
Town 'n' Country,FL,Florida
Clifton,NJ,New Jersey
Bloomington,MN,Minnesota
Mount Pleasant,SC,South Carolina
Florence,SC,South Carolina
Newton,MA,Massachusetts
State College,PA,Pennsylvania
Livermore,CA,California
Rapid City,SD,South Dakota
Decatur,IL,Illinois
Dalton,GA,Georgia
Conroe,TX,Texas
Hawthorne,CA,California
Lawrence,MA,Massachusetts
New Braunfels,TX,Texas
Citrus Heights,CA,California
Jackson,MI,Michigan
Whittier,CA,California
Muncie,IN,Indiana
Troy,MI,Michigan
Homosassa Springs,FL,Florida
Port Huron,MI,Michigan
Napa,CA,California
Deerfield Beach,FL,Florida
Springdale,AR,Arkansas
Newport Beach,CA,California
Anderson,IN,Indiana
San Ramon,CA,California
Lake Forest,CA,California
Mission,TX,Texas
Auburn,WA,Washington
Brooklyn Park,MN,Minnesota
Bryan,TX,Texas
Springfield,OH,Ohio
Hattiesburg,MS,Mississippi
Westland,MI,Michigan
Cicero,IL,Illinois
Albany,GA,Georgia
Fort Myers,FL,Florida
Pine Hills,FL,Florida
Atascocita,TX,Texas
Buena Park,CA,California
Redwood City,CA,California
Farmington Hills,MI,Michigan
Alton,IL,Illinois
Melbourne,FL,Florida
Miami Beach,FL,Florida
Alhambra,CA,California
Williamsburg,VA,Virginia
Madera,CA,California
Warwick,RI,Rhode Island
Cranston,RI,Rhode Island
Baytown,TX,Texas
Largo,FL,Florida
Silver Spring,MD,Maryland
Lakewood,CA,California
Mountain View,CA,California
Kankakee,IL,Illinois
Johns Creek,GA,Georgia
Flagstaff,AZ,Arizona
Franklin,TN,Tennessee
Joplin,MO,Missouri
Parma,OH,Ohio
Layton,UT,Utah
New Rochelle,NY,New York
Anderson,SC,South Carolina
Lebanon,PA,Pennsylvania
Somerville,MA,Massachusetts
Yauco,PR,Puerto Rico
St. Joseph,MO,Missouri
Plymouth,MN,Minnesota
Tustin,CA,California
Zephyrhills,FL,Florida
Milpitas,CA,California
Florence,AL,Alabama
Pleasanton,CA,California
Boynton Beach,FL,Florida
Texarkana,TX,Texas
Folsom,CA,California
Bellflower,CA,California
Pharr,TX,Texas
Homestead,FL,Florida
Valdosta,GA,Georgia
Upland,CA,California
Evanston,IL,Illinois
Newark,OH,Ohio
Elizabethtown,KY,Kentucky
St. Augustine,FL,Florida
Rancho Cordova,CA,California
Alameda,CA,California
Chino Hills,CA,California
Perris,CA,California
Schaumburg,IL,Illinois
Kendall,FL,Florida
Camarillo,CA,California
Anniston,AL,Alabama
Sumter,SC,South Carolina
Jonesboro,AR,Arkansas
Hammond,IN,Indiana
Carmichael,CA,California
Arlington Heights,IL,Illinois
Morgantown,WV,West Virginia
Wyoming,MI,Michigan
Cheyenne,WY,Wyoming
Pasco,WA,Washington
Watsonville,CA,California
Southfield,MI,Michigan
Wausau,WI,Wisconsin
Rochester Hills,MI,Michigan
Loveland,CO,Colorado
Alexandria,LA,Louisiana
Pittsburg,CA,California
Hammond,LA,Louisiana
South Jordan,UT,Utah
Battle Creek,MI,Michigan
Bethlehem,PA,Pennsylvania
Fajardo,PR,Puerto Rico
Davis,CA,California
Apple Valley,CA,California
Pawtucket,RI,Rhode Island
Wheeling,WV,West Virginia
Flower Mound,TX,Texas
Harrisonburg,VA,Virginia
Cedar Park,TX,Texas
Oshkosh,WI,Wisconsin
Winchester,VA,Virginia
Caguas,PR,Puerto Rico
Ellicott City,MD,Maryland
Pocatello,ID,Idaho
Hilton Head Island,SC,South Carolina
New Britain,CT,Connecticut
Mansfield,OH,Ohio
Woodbury,MN,Minnesota
Lauderhill,FL,Florida
Lehi,UT,Utah
Bolingbrook,IL,Illinois
Dale City,VA,Virginia
Missouri City,TX,Texas
Lake Jackson,TX,Texas
Altoona,PA,Pennsylvania
Doral,FL,Florida
Owensboro,KY,Kentucky
Centreville,VA,Virginia
Mount Vernon,NY,New York
Baldwin Park,CA,California
Broomfield,CO,Colorado
Redlands,CA,California
Cleveland,TN,Tennessee
Dothan,AL,Alabama
Camden,NJ,New Jersey
Redmond,WA,Washington
Framingham,MA,Massachusetts
Jackson,TN,Tennessee
Janesville,WI,Wisconsin
Juana Díaz,PR,Puerto Rico
Mansfield,TX,Texas
Waukesha,WI,Wisconsin
Tamarac,FL,Florida
Wenatchee,WA,Washington
Daytona Beach,FL,Florida
Castle Rock,CO,Colorado
Redondo Beach,CA,California
Wilmington,DE,Delaware
San Marcos,TX,Texas
Union City,CA,California
Eldersburg,MD,Maryland
Conway,AR,Arkansas
Bayonne,NJ,New Jersey
Guaynabo,PR,Puerto Rico
Rocklin,CA,California
Passaic,NJ,New Jersey
Sheboygan,WI,Wisconsin
Casas Adobes,AZ,Arizona
St. Charles,MO,Missouri
Maple Grove,MN,Minnesota
Walnut Creek,CA,California
Dublin,CA,California
North Richland Hills,TX,Texas
Gary,IN,Indiana
Glen Burnie,MD,Maryland
Bristol,TN,Tennessee
Decatur,AL,Alabama
West Bend,WI,Wisconsin
Lodi,CA,California
Lima,OH,Ohio
Florida,PR,Puerto Rico
Lakeville,MN,Minnesota
Blaine,MN,Minnesota
Poinciana,FL,Florida
East Orange,NJ,New Jersey
Noblesville,IN,Indiana
Gaithersburg,MD,Maryland
Lake Elsinore,CA,California
Palo Alto,CA,California
Eastvale,CA,California
Tulare,CA,California
Rogers,AR,Arkansas
Yorba Linda,CA,California
Parkersburg,WV,West Virginia
Eagan,MN,Minnesota
Weston,FL,Florida
Longview,WA,Washington
Bay City,MI,Michigan
Dubuque,IA,Iowa
Union City,NJ,New Jersey
Porterville,CA,California
Mount Vernon,WA,Washington
Palatine,IL,Illinois
El Paso de Robles,CA,California
West Des Moines,IA,Iowa
Lynwood,CA,California
Skokie,IL,Illinois
Sherman,TX,Texas
Rockville,MD,Maryland
Haverhill,MA,Massachusetts
Hanover,PA,Pennsylvania
Shawnee,KS,Kansas
Rome,GA,Georgia
Schenectady,NY,New York
South Hill,WA,Washington
DeKalb,IL,Illinois
Petaluma,CA,California
Sammamish,WA,Washington
Georgetown,TX,Texas
Carbondale,IL,Illinois
Delray Beach,FL,Florida
Dundalk,MD,Maryland
Kenner,LA,Louisiana
Albany,OR,Oregon
Ankeny,IA,Iowa
South San Francisco,CA,California
Castro Valley,CA,California
Bethesda,MD,Maryland
Saratoga Springs,NY,New York
Corvallis,OR,Oregon
Brentwood,NY,New York
Ames,IA,Iowa
Glens Falls,NY,New York
Michigan City,IN,Indiana
Victoria,TX,Texas
Malden,MA,Massachusetts
Weirton,WV,West Virginia
Novi,MI,Michigan
Guayama,PR,Puerto Rico
Alpharetta,GA,Georgia
Wesley Chapel,FL,Florida
Waltham,MA,Massachusetts
Laguna Niguel,CA,California
San Clemente,CA,California
North Little Rock,AR,Arkansas
Fairbanks,AK,Alaska
Florence-Graham,CA,California
Eden Prairie,MN,Minnesota
Twin Rivers,NJ,New Jersey
Pflugerville,TX,Texas
Casper,WY,Wyoming
Burnsville,MN,Minnesota
Grand Forks,ND,North Dakota
Brentwood,CA,California
Millcreek,UT,Utah
Elmira,NY,New York
Sebring,FL,Florida
La Habra,CA,California
Coon Rapids,MN,Minnesota
Bossier City,LA,Louisiana
Hamilton,OH,Ohio
Taylor,MI,Michigan
Lakewood,WA,Washington
Greenwood,IN,Indiana
Bellevue,NE,Nebraska
Montebello,CA,California
Moore,OK,Oklahoma
Council Bluffs,IA,Iowa
Rowlett,TX,Texas
Spring,TX,Texas
Port Charlotte,FL,Florida
Reston,VA,Virginia
Pico Rivera,CA,California
Dearborn Heights,MI,Michigan
Port Orange,FL,Florida
Encinitas,CA,California
Springfield,OR,Oregon
Great Falls,MT,Montana
Rocky Mount,NC,North Carolina
Commerce City,CO,Colorado
Pontiac,MI,Michigan
The Hammocks,FL,Florida
Wellington,FL,Florida
San Rafael,CA,California
Monterey Park,CA,California
La Mesa,CA,California
Woodland,CA,California
Marietta,GA,Georgia
Chapel Hill,NC,North Carolina
Gardena,CA,California
Meriden,CT,Connecticut
Bristol,CT,Connecticut
Revere,MA,Massachusetts
Medford,MA,Massachusetts
Palm Harbor,FL,Florida
Cupertino,CA,California
Jupiter,FL,Florida
Hendersonville,TN,Tennessee
North Miami,FL,Florida
Des Plaines,IL,Illinois
Taylorsville,UT,Utah
West Allis,WI,Wisconsin
Sanford,FL,Florida
Huntersville,NC,North Carolina
Euless,TX,Texas
Richland,WA,Washington
Santee,CA,California
White Plains,NY,New York
Hoboken,NJ,New Jersey
Kokomo,IN,Indiana
Taunton,MA,Massachusetts
St. Clair Shores,MI,Michigan
Towson,MD,Maryland
Caldwell,ID,Idaho
South Whittier,CA,California
Orland Park,IL,Illinois
Stonecrest,GA,Georgia
Palm Beach Gardens,FL,Florida
Royal Oak,MI,Michigan
Margate,FL,Florida
Blue Springs,MO,Missouri
Shoreline,WA,Washington
Midwest City,OK,Oklahoma
Bowie,MD,Maryland
Apex,NC,North Carolina
Oak Lawn,IL,Illinois
Carson City,NV,Nevada
Fountainebleau,FL,Florida
Queen Creek,AZ,Arizona
Leander,TX,Texas
Bartlett,TN,Tennessee
St. Cloud,FL,Florida
Coconut Creek,FL,Florida
Kettering,OH,Ohio
Parker,CO,Colorado
St. Peters,MO,Missouri
Fountain Valley,CA,California
Maricopa,AZ,Arizona
Berwyn,IL,Illinois
National City,CA,California
Lenexa,KS,Kansas
Highland,CA,California
Arcadia,CA,California
Mount Prospect,IL,Illinois
Lake Havasu City,AZ,Arizona
Tinley Park,IL,Illinois
DeSoto,TX,Texas
New Brunswick,NJ,New Jersey
Chicopee,MA,Massachusetts
Madison,AL,Alabama
West Haven,CT,Connecticut
Smyrna,GA,Georgia
Huntington Park,CA,California
Wylie,TX,Texas
Diamond Bar,CA,California
Apple Valley,MN,Minnesota
Perth Amboy,NJ,New Jersey
Bradenton,FL,Florida
Brookhaven,GA,Georgia
Hacienda Heights,CA,California
Manhattan,KS,Kansas
Tigard,OR,Oregon
Tamiami,FL,Florida
Yucaipa,CA,California
Westchester,FL,Florida
Peabody,MA,Massachusetts
Plainfield,NJ,New Jersey
Southaven,MS,Mississippi
Apopka,FL,Florida
Oak Park,IL,Illinois
Horizon West,FL,Florida
Severn,MD,Maryland
Paramount,CA,California
Colton,CA,California
Kentwood,MI,Michigan
Aspen Hill,MD,Maryland
Minnetonka,MN,Minnesota
Wheaton,IL,Illinois
West Sacramento,CA,California
Casa Grande,AZ,Arizona
Normal,IL,Illinois
Kendale Lakes,FL,Florida
San Jacinto,CA,California
Novato,CA,California
Pinellas Park,FL,Florida
Galveston,TX,Texas
Edina,MN,Minnesota
Herriman,UT,Utah
Elyria,OH,Ohio
Grand Island,NE,Nebraska
Aloha,OR,Oregon
Lacey,WA,Washington
Bentonville,AR,Arkansas
Levittown,NY,New York
Methuen Town,MA,Massachusetts
West New York,NJ,New Jersey
Glendora,CA,California
Smyrna,TN,Tennessee
Florissant,MO,Missouri
Delano,CA,California
Kannapolis,NC,North Carolina
Hoffman Estates,IL,Illinois
Beaumont,CA,California
Placentia,CA,California
Aliso Viejo,CA,California
Wheaton,MD,Maryland
Cathedral City,CA,California
Rosemead,CA,California
Burien,WA,Washington
Bozeman,MT,Montana
Florin,CA,California
Twin Falls,ID,Idaho
Enid,OK,Oklahoma
Country Club,FL,Florida
Dunwoody,GA,Georgia
Levittown,PA,Pennsylvania
Palm Desert,CA,California
Covina,CA,California
Cuyahoga Falls,OH,Ohio
Lakewood,OH,Ohio
Marana,AZ,Arizona
Mishawaka,IN,Indiana
Columbus,IN,Indiana
Troy,NY,New York
North Bethesda,MD,Maryland
Milford city ,CT,Connecticut
Collierville,TN,Tennessee
Grapevine,TX,Texas
Summerville,SC,South Carolina
Cypress,CA,California
Downers Grove,IL,Illinois
Murray,UT,Utah
Catalina Foothills,AZ,Arizona
East Honolulu,HI,Hawaii
Draper,UT,Utah
Chesterfield,MO,Missouri
Cerritos,CA,California
Bedford,TX,Texas
St. Louis Park,MN,Minnesota
Azusa,CA,California
Euclid,OH,Ohio
McLean,VA,Virginia
Coral Gables,FL,Florida
Lincoln,CA,California
Jeffersonville,IN,Indiana
Ceres,CA,California
Biloxi,MS,Mississippi
Lawrence,IN,Indiana
Poway,CA,California
Cedar Hill,TX,Texas
Portage,MI,Michigan
Rowland Heights,CA,California
Niagara Falls,NY,New York
Dublin,OH,Ohio
El Dorado Hills,CA,California
Mooresville,NC,North Carolina
North Highlands,CA,California
Antelope,CA,California
Spring Hill,TN,Tennessee
Everett,MA,Massachusetts
University,FL,Florida
Roswell,NM,New Mexico
Leesburg,VA,Virginia
Rancho Santa Margarita,CA,California
Tuckahoe,VA,Virginia
Titusville,FL,Florida
Glenview,IL,Illinois
Wauwatosa,WI,Wisconsin
Stillwater,OK,Oklahoma
Minot,ND,North Dakota
La Mirada,CA,California
Wilson,NC,North Carolina
Newark,CA,California
Roseville,MI,Michigan
East Lansing,MI,Michigan
Mentor,OH,Ohio
Bothell,WA,Washington
San Luis Obispo,CA,California
Burleson,TX,Texas
East Providence,RI,Rhode Island
Middletown,CT,Connecticut
Brea,CA,California
Salina,KS,Kansas
Potomac,MD,Maryland
Farmington,NM,New Mexico
Sicklerville,NJ,New Jersey
Ocoee,FL,Florida
Hilo,HI,Hawaii
Oro Valley,AZ,Arizona
Fort Pierce,FL,Florida
Wake Forest,NC,North Carolina
Beavercreek,OH,Ohio
Strongsville,OH,Ohio
Rockwall,TX,Texas
Attleboro,MA,Massachusetts
Winter Garden,FL,Florida
Pearl City,HI,Hawaii
Haltom City,TX,Texas
Altamonte Springs,FL,Florida
Hackensack,NJ,New Jersey
Westfield,IN,Indiana
Elmhurst,IL,Illinois
Bountiful,UT,Utah
Littleton,CO,Colorado
Huntsville,TX,Texas
