industry_group,skill_name,skill_group,skill_count
"Health and Medical",Analytics,Quantitative/Analytics,7
"Human Resources and Staffing",Analytics,Quantitative/Analytics,10
Manufacturing,Analytics,Quantitative/Analytics,3
Others,Analytics,Quantitative/Analytics,1
"Retail and Wholesale",Analytics,Quantitative/Analytics,1
"Technology and Telecommunications",Analytics,Quantitative/Analytics,4
"Education and Training","Annual Giving",Other,1
"Retail and Wholesale",Apparel,Other,1
"Human Resources and Staffing","Applicant Tracking Systems",Technology,1
"Financial Services","Appointment Scheduling",Other,1
"Retail and Wholesale","Assortment Strategies",Strategy/Planning/Management,1
"Education and Training",Athletics,Other,2
Manufacturing,Athletics,Other,1
"Advertising and Marketing","Attention to Detail",Other,9
"Architecture and Design","Attention to Detail",Other,1
"Business and Information Technology","Attention to Detail",Other,2
"Construction and Real Estate","Attention to Detail",Other,1
"Entertainment and Recreation","Attention to Detail",Other,1
"Human Resources and Staffing","Attention to Detail",Other,4
Others,"Attention to Detail",Other,2
"Advertising and Marketing","Attitude Change",Other,1
"Non-profit and Social Services","Audience Measurement",Other,1
"Advertising and Marketing","Audio Conferencing","Graphic Design/Visual",8
Manufacturing,"B2B Marketing",Strategy/Planning/Management,1
"Retail and Wholesale","Basic Math",Quantitative/Analytics,1
"Education and Training",Basketball,Other,1
"Education and Training","Basketball Coaching",Other,1
"Health and Medical",Beauty,Other,1
"Education and Training",Benchmarking,Strategy/Planning/Management,1
"Human Resources and Staffing",Benchmarking,Strategy/Planning/Management,1
"Construction and Real Estate","Benefits Administration",Other,1
Others,Bios,Other,1
"Advertising and Marketing",Blogging,Content/Writing,1
"Human Resources and Staffing",Blogging,Content/Writing,1
"Health and Medical",Bloomreach,Other,1
"Architecture and Design",Bluebeam,Other,1
"Travel and Tourism",Bookings,Other,1
"Advertising and Marketing","Box Cloud",Technology,1
"Construction and Real Estate","Brainstorm Facilitation",Other,1
"Retail and Wholesale","Brand Activation",Brand,2
"Human Resources and Staffing","Brand Ambassadorship",Brand,2
"Advertising and Marketing","Brand Awareness",Brand,9
"Food and Beverage","Brand Awareness",Brand,1
"Human Resources and Staffing","Brand Awareness",Brand,2
"Technology and Telecommunications","Brand Awareness",Brand,1
"Human Resources and Staffing","Brand Development",Brand,1
"Business and Information Technology","Brand Identity",Brand,1
"Advertising and Marketing","Brand Loyalty",Brand,2
"Advertising and Marketing","Brand Management",Brand,4
"Construction and Real Estate","Brand Management",Brand,1
"Human Resources and Staffing","Brand Management",Brand,3
"Advertising and Marketing","Brand Marketing",Brand,4
"Advertising and Marketing","Brand Strategy",Brand,1
"Technology and Telecommunications","Brand Strategy",Brand,2
"Advertising and Marketing",Branding,Brand,6
"Education and Training",Branding,Brand,1
"Entertainment and Recreation",Branding,Brand,2
"Food and Beverage",Branding,Brand,1
"Human Resources and Staffing",Branding,Brand,3
Others,Branding,Brand,1
"Technology and Telecommunications",Branding,Brand,1
"Human Resources and Staffing","Branding & Identity",Brand,1
"Health and Medical",Braze,Other,1
"Human Resources and Staffing",Brochures,Other,1
Manufacturing,Brochures,Other,1
"Construction and Real Estate","Broker Opinion of Value",Other,1
"Advertising and Marketing","Budget Tracking",Other,1
"Advertising and Marketing",Budgeting,Strategy/Planning/Management,2
"Human Resources and Staffing",Budgeting,Strategy/Planning/Management,1
"Education and Training","Build Strong Relationships",Communication,1
"Food and Beverage","Build Strong Relationships",Communication,1
Others,"Build Strong Relationships",Communication,1
"Construction and Real Estate","Building Operations",Strategy/Planning/Management,1
"Construction and Real Estate","Building Science",Other,1
"Human Resources and Staffing","Business Acumen",Strategy/Planning/Management,1
"Advertising and Marketing","Business Administration",Strategy/Planning/Management,1
"Technology and Telecommunications","Business Analysis",Quantitative/Analytics,1
"Advertising and Marketing","Business Communications",Communication,4
"Advertising and Marketing","Business Development",Strategy/Planning/Management,5
"Human Resources and Staffing","Business Development",Strategy/Planning/Management,2
"Education and Training","Business Engagement",Strategy/Planning/Management,1
"Education and Training","Business Intelligence (BI)",Quantitative/Analytics,1
"Advertising and Marketing","Business Management",Strategy/Planning/Management,1
"Advertising and Marketing","Business Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Business Modeling",Quantitative/Analytics,1
"Human Resources and Staffing","Business Networking",Communication,1
"Human Resources and Staffing","Business Planning",Strategy/Planning/Management,1
"Advertising and Marketing","Business Relationship Management",Strategy/Planning/Management,1
"Construction and Real Estate","Business Relationship Management",Strategy/Planning/Management,2
"Education and Training","Business Relationship Management",Strategy/Planning/Management,1
"Entertainment and Recreation","Business Relationship Management",Strategy/Planning/Management,1
"Human Resources and Staffing","Business Relationship Management",Strategy/Planning/Management,3
"Travel and Tourism","Business Relationship Management",Strategy/Planning/Management,1
"Technology and Telecommunications","Business Reporting",Quantitative/Analytics,1
"Business and Information Technology","Business Reviews",Other,1
Manufacturing,"Business Strategy",Strategy/Planning/Management,1
Manufacturing,"Business Transactions",Strategy/Planning/Management,1
"Retail and Wholesale","Business Writing",Content/Writing,1
"Environmental and Energy","Business-to-Business (B2B)",Strategy/Planning/Management,5
"Human Resources and Staffing","Business-to-Business (B2B)",Strategy/Planning/Management,1
Manufacturing,"Business-to-Business (B2B)",Strategy/Planning/Management,1
"Technology and Telecommunications","Business-to-Business (B2B)",Strategy/Planning/Management,2
"Advertising and Marketing",Calendaring,Other,2
"Advertising and Marketing",Calendars,Other,1
"Construction and Real Estate",Calendars,Other,1
"Advertising and Marketing","Campaign Development",Strategy/Planning/Management,1
"Human Resources and Staffing","Campaign Development",Strategy/Planning/Management,1
"Automotive and Transportation","Campaign Effectiveness",Strategy/Planning/Management,1
"Human Resources and Staffing","Campaign Effectiveness",Strategy/Planning/Management,1
Manufacturing,"Campaign Effectiveness",Strategy/Planning/Management,1
"Advertising and Marketing","Campaign Strategies",Strategy/Planning/Management,2
"Health and Medical","Campaign Strategies",Strategy/Planning/Management,1
"Advertising and Marketing",Campaigns,Strategy/Planning/Management,26
"Automotive and Transportation",Campaigns,Strategy/Planning/Management,1
"Business and Information Technology",Campaigns,Strategy/Planning/Management,3
"Construction and Real Estate",Campaigns,Strategy/Planning/Management,2
"Entertainment and Recreation",Campaigns,Strategy/Planning/Management,2
"Facilities and Maintenance",Campaigns,Strategy/Planning/Management,1
"Food and Beverage",Campaigns,Strategy/Planning/Management,3
"Health and Medical",Campaigns,Strategy/Planning/Management,4
"Human Resources and Staffing",Campaigns,Strategy/Planning/Management,22
Manufacturing,Campaigns,Strategy/Planning/Management,3
"Non-profit and Social Services",Campaigns,Strategy/Planning/Management,1
Others,Campaigns,Strategy/Planning/Management,1
"Retail and Wholesale",Campaigns,Strategy/Planning/Management,2
"Advertising and Marketing",Cancellations,Other,1
"Non-profit and Social Services",Cancellations,Other,1
"Travel and Tourism",Carnival,Other,1
"Human Resources and Staffing","Cascading Style Sheets (CSS)",Other,1
"Business and Information Technology","Case Studies",Quantitative/Analytics,1
"Construction and Real Estate","Case Studies",Quantitative/Analytics,1
"Financial Services","Casualty Insurance",Other,1
"Health and Medical",Census,Other,2
"Advertising and Marketing","Charity Work",Other,1
"Education and Training","Chartered Financial Analyst",Quantitative/Analytics,1
"Education and Training","Child Welfare",Other,1
"Advertising and Marketing",ClickUp,Other,1
"Advertising and Marketing","Client Accounts",Sales,1
"Advertising and Marketing","Client Communication",Sales,2
"Construction and Real Estate","Client Presentation",Sales,1
"Advertising and Marketing","Client Relations",Sales,5
"Entertainment and Recreation","Client Relations",Sales,1
"Financial Services","Client Relations",Sales,1
"Human Resources and Staffing","Client Relations",Sales,5
"Retail and Wholesale","Client Relations",Sales,2
"Technology and Telecommunications","Client Relations",Sales,1
"Advertising and Marketing","Client Representation",Sales,2
"Education and Training","Closing Costs",Sales,1
"Advertising and Marketing",Coaching,Other,2
"Education and Training",Coaching,Other,1
"Health and Medical",Coaching,Other,3
"Technology and Telecommunications",Coaching,Other,1
"Technology and Telecommunications","Coaching & Mentoring",Other,1
"Financial Services","Cold Calling",Sales,1
Others,"Cold Calling",Sales,1
"Construction and Real Estate",Collateral,Other,1
"Health and Medical",Collateral,Other,1
"Human Resources and Staffing",Collateral,Other,1
Manufacturing,"Commercial Awareness",Brand,2
"Health and Medical","Common Sense",Other,1
"Advertising and Marketing","Communication Training",Communication,4
"Health and Medical","Communication Training",Communication,1
"Human Resources and Staffing","Communication Training",Communication,4
"Retail and Wholesale","Communication Training",Communication,1
"Travel and Tourism","Communication Training",Communication,1
"Retail and Wholesale","Community Building",Communication,2
"Advertising and Marketing","Community Engagement",Communication,3
"Retail and Wholesale","Community Foundations",Communication,1
"Advertising and Marketing","Community Outreach",Communication,2
Manufacturing,"Company Brochures",Other,1
"Entertainment and Recreation","Company Newsletters",Content/Writing,1
"Construction and Real Estate",Compensation,Other,1
"Financial Services",Compensation,Other,1
Others,Compensation,Other,1
Manufacturing,"Competitive Analysis","Market Research",1
"Technology and Telecommunications","Competitive Intelligence","Market Research",1
"Technology and Telecommunications","Compliance Procedures",Other,1
"Advertising and Marketing","Compliance Regulations",Other,1
"Human Resources and Staffing","Computer Graphics",Other,1
"Advertising and Marketing","Computer Literacy",Other,4
"Construction and Real Estate","Computer Literacy",Other,1
"Education and Training","Computer Literacy",Other,1
"Health and Medical","Computer Literacy",Other,1
"Human Resources and Staffing","Computer Literacy",Other,2
Others,"Computer Literacy",Other,1
"Travel and Tourism","Computer Literacy",Other,1
"Advertising and Marketing",Confidentiality,Other,2
"Technology and Telecommunications",Confidentiality,Other,1
"Government and Public Services","Conflict Of Interest",Communication,1
"Construction and Real Estate","Construction Management",Strategy/Planning/Management,1
"Advertising and Marketing","Constructive Feedback",Communication,2
"Human Resources and Staffing","Constructive Feedback",Communication,1
"Health and Medical",Consultations,Other,1
"Food and Beverage","Consumer Behavior","Market Research",1
"Advertising and Marketing","Consumer Marketing",Sales,1
"Advertising and Marketing","Contact Centers",Communication,1
"Technology and Telecommunications","Contact Centers",Communication,1
"Business and Information Technology","Content Creation",Content/Writing,1
"Education and Training","Content Creation",Content/Writing,2
"Health and Medical","Content Creation",Content/Writing,1
"Human Resources and Staffing","Content Delivery",Content/Writing,1
Others,"Content Delivery",Content/Writing,1
"Travel and Tourism","Content Design",Content/Writing,1
"Education and Training","Content Development",Content/Writing,1
"Financial Services","Content Development",Content/Writing,1
"Health and Medical","Content Development",Content/Writing,1
"Construction and Real Estate","Content Management",Content/Writing,1
"Education and Training","Content Management",Content/Writing,2
"Financial Services","Content Management",Content/Writing,1
"Health and Medical","Content Management",Content/Writing,2
"Human Resources and Staffing","Content Management",Content/Writing,1
"Human Resources and Staffing","Content Management Systems (CMS)",Content/Writing,1
"Advertising and Marketing","Content Marketing",Content/Writing,1
"Financial Services","Content Marketing",Content/Writing,1
"Human Resources and Staffing","Content Marketing",Content/Writing,2
"Non-profit and Social Services","Content Marketing",Content/Writing,1
"Entertainment and Recreation","Content Strategy",Content/Writing,1
"Financial Services","Content Strategy",Content/Writing,1
"Human Resources and Staffing","Content Strategy",Content/Writing,2
"Travel and Tourism","Content Strategy",Content/Writing,1
"Advertising and Marketing","Contract Negotiation",Sales,2
"Construction and Real Estate","Contract Negotiation",Sales,1
Manufacturing,"Contract Negotiation",Sales,1
"Health and Medical","Contract Terms",Other,1
"Advertising and Marketing",Conventions,Other,2
"Advertising and Marketing","Coordinating Activities",Strategy/Planning/Management,3
Manufacturing,"Coordinating Activities",Strategy/Planning/Management,1
"Advertising and Marketing",Copywriting,Content/Writing,2
"Business and Information Technology",Copywriting,Content/Writing,1
"Environmental and Energy",Copywriting,Content/Writing,5
"Human Resources and Staffing",Copywriting,Content/Writing,2
"Retail and Wholesale",Copywriting,Content/Writing,1
"Technology and Telecommunications",Copywriting,Content/Writing,1
"Advertising and Marketing","Corporate Communications",Communication,5
"Automotive and Transportation","Corporate Communications",Communication,1
"Human Resources and Staffing","Corporate Communications",Communication,1
"Advertising and Marketing","Corporate Events",Strategy/Planning/Management,2
"Travel and Tourism","Corporate Events",Strategy/Planning/Management,2
"Business and Information Technology","Corporate Financial Reporting",Quantitative/Analytics,1
"Health and Medical","Corporate Financial Reporting",Quantitative/Analytics,1
Others,"Corporate Relations",Communication,1
"Education and Training",Counseling,Communication,1
"Retail and Wholesale",Counseling,Communication,1
"Financial Services","Creative Agencies",Other,1
"Human Resources and Staffing","Creative Briefs",Other,2
"Travel and Tourism","Creative Design","Graphic Design/Visual",1
"Health and Medical","Creative Direction",Other,1
"Entertainment and Recreation","Creative Marketing",Strategy/Planning/Management,1
"Construction and Real Estate","Creative Problem Solving",Strategy/Planning/Management,1
"Human Resources and Staffing","Creative Problem Solving",Strategy/Planning/Management,1
Manufacturing,"Creative Strategy",Strategy/Planning/Management,1
"Advertising and Marketing","Creative Writing",Content/Writing,1
"Business and Information Technology","Creative Writing",Content/Writing,1
"Human Resources and Staffing","Creative Writing",Content/Writing,1
"Advertising and Marketing","Creativity and Innovation",Other,1
"Human Resources and Staffing","Creativity and Innovation",Other,1
"Advertising and Marketing","Creativity Skills",Communication,1
"Business and Information Technology","Creativity Skills",Communication,1
"Non-profit and Social Services","Credit Cards",Other,1
"Advertising and Marketing","Critical Thinking",Strategy/Planning/Management,4
"Architecture and Design","Critical Thinking",Strategy/Planning/Management,1
"Human Resources and Staffing","Critical Thinking",Strategy/Planning/Management,2
"Technology and Telecommunications","Critical Thinking",Strategy/Planning/Management,1
"Health and Medical","Cross-Channel Marketing",Strategy/Planning/Management,1
"Health and Medical","Cross-functional Team Leadership",Strategy/Planning/Management,1
"Retail and Wholesale","Cultural Competency",Other,1
"Advertising and Marketing","Customer Acquisition",Sales,12
"Human Resources and Staffing","Customer Acquisition",Sales,3
"Advertising and Marketing","Customer Education",Sales,2
"Advertising and Marketing","Customer Engagement",Sales,1
"Business and Information Technology","Customer Engagement",Sales,1
Others,"Customer Engagement",Sales,1
"Advertising and Marketing","Customer Experience",Sales,5
"Human Resources and Staffing","Customer Experience",Sales,1
"Technology and Telecommunications","Customer Experience",Sales,1
"Advertising and Marketing","Customer Facing Roles",Sales,2
"Advertising and Marketing","Customer Insight",Quantitative/Analytics,1
"Advertising and Marketing","Customer Interaction",Sales,3
"Advertising and Marketing","Customer Loyalty",Sales,1
"Advertising and Marketing","Customer Relations",Sales,4
"Health and Medical","Customer Relations",Sales,1
"Human Resources and Staffing","Customer Relations",Sales,3
"Travel and Tourism","Customer Relations",Sales,1
"Advertising and Marketing","Customer Relationship Management (CRM)",Sales,3
"Human Resources and Staffing","Customer Relationship Management (CRM)",Sales,1
"Travel and Tourism","Customer Relationship Management (CRM)",Sales,1
"Advertising and Marketing","Customer Retention",Sales,6
"Advertising and Marketing","Customer Satisfaction",Sales,5
"Food and Beverage","Customer Satisfaction",Sales,1
"Health and Medical","Customer Satisfaction",Sales,1
"Human Resources and Staffing","Customer Satisfaction",Sales,1
"Retail and Wholesale","Customer Satisfaction",Sales,1
"Technology and Telecommunications","Customer Satisfaction",Sales,1
"Advertising and Marketing","Customer Service",Sales,19
"Architecture and Design","Customer Service",Sales,1
"Construction and Real Estate","Customer Service",Sales,1
"Financial Services","Customer Service",Sales,1
"Human Resources and Staffing","Customer Service",Sales,9
Others,"Customer Service",Sales,1
"Retail and Wholesale","Customer Service",Sales,2
"Technology and Telecommunications","Customer Service",Sales,1
"Travel and Tourism","Customer Service",Sales,1
"Advertising and Marketing","Customer Service Management",Sales,2
"Technology and Telecommunications","Customer Success",Sales,2
"Advertising and Marketing","Customer Support",Sales,2
"Technology and Telecommunications","Customer Support",Sales,1
"Advertising and Marketing","Customer-Focused Service",Sales,1
"Financial Services","Customer-Focused Service",Sales,1
"Business and Information Technology","Cyber Risk Management",Strategy/Planning/Management,1
"Health and Medical","Data Analysis",Quantitative/Analytics,2
"Technology and Telecommunications","Data Analysis",Quantitative/Analytics,1
"Technology and Telecommunications","Data Analytics",Quantitative/Analytics,1
"Business and Information Technology","Data Cleaning",Quantitative/Analytics,1
"Health and Medical","Data Collection","Market Research",2
"Business and Information Technology","Data Entry",Quantitative/Analytics,1
"Construction and Real Estate","Data Entry",Quantitative/Analytics,1
"Human Resources and Staffing","Data Entry",Quantitative/Analytics,2
"Travel and Tourism","Data Entry",Quantitative/Analytics,1
"Business and Information Technology","Data Integrity",Quantitative/Analytics,1
"Human Resources and Staffing","Data Integrity",Quantitative/Analytics,1
"Advertising and Marketing","Data Reporting",Quantitative/Analytics,1
"Health and Medical","Database Administration",Technology,2
"Advertising and Marketing",Databases,Quantitative/Analytics,1
"Human Resources and Staffing",Databases,Quantitative/Analytics,1
"Advertising and Marketing","Deal Closure",Other,2
"Advertising and Marketing",Deals,Other,1
"Business and Information Technology",Deduplication,Other,1
"Construction and Real Estate","Design Development",Technology,1
"Travel and Tourism","Destination Weddings",Other,1
"Human Resources and Staffing","Digital Campaigns","Graphic Design/Visual",1
"Environmental and Energy","Digital Communication","Graphic Design/Visual",5
"Construction and Real Estate","Digital Content","Graphic Design/Visual",1
"Travel and Tourism","Digital Content","Graphic Design/Visual",1
"Advertising and Marketing","Digital Marketing","Graphic Design/Visual",10
"Business and Information Technology","Digital Marketing","Graphic Design/Visual",3
"Construction and Real Estate","Digital Marketing","Graphic Design/Visual",1
"Education and Training","Digital Marketing","Graphic Design/Visual",1
"Entertainment and Recreation","Digital Marketing","Graphic Design/Visual",1
"Facilities and Maintenance","Digital Marketing","Graphic Design/Visual",1
"Financial Services","Digital Marketing","Graphic Design/Visual",1
"Food and Beverage","Digital Marketing","Graphic Design/Visual",2
"Health and Medical","Digital Marketing","Graphic Design/Visual",4
"Human Resources and Staffing","Digital Marketing","Graphic Design/Visual",13
Manufacturing,"Digital Marketing","Graphic Design/Visual",3
"Non-profit and Social Services","Digital Marketing","Graphic Design/Visual",1
"Retail and Wholesale","Digital Marketing","Graphic Design/Visual",1
"Advertising and Marketing","Digital Media","Graphic Design/Visual",1
"Entertainment and Recreation","Digital Media","Graphic Design/Visual",1
Others,"Digital Media","Graphic Design/Visual",1
"Education and Training","Digital Strategy","Graphic Design/Visual",1
"Business and Information Technology",Diplomacy,Communication,1
"Education and Training","Direct Mail",Sales,1
"Advertising and Marketing","Direct Marketing",Sales,4
"Human Resources and Staffing","Direct Marketing",Sales,2
"Non-profit and Social Services","Direct Response Marketing",Sales,1
"Advertising and Marketing","Direct Sales",Sales,1
"Non-profit and Social Services","Direct Sales",Sales,1
"Government and Public Services",Disclosure,Other,1
"Health and Medical",Dispositions,Other,1
"Advertising and Marketing","Diverse Groups",Other,1
"Human Resources and Staffing",Dreamweaver,Other,1
"Human Resources and Staffing",E-newsletter,Other,1
"Construction and Real Estate","Easily Adaptable",Other,1
"Health and Medical","Easily Adaptable",Other,1
Manufacturing,"Easily Adaptable",Other,1
"Business and Information Technology",Editing,"Graphic Design/Visual",1
"Construction and Real Estate",Editing,"Graphic Design/Visual",3
"Education and Training",Editing,"Graphic Design/Visual",1
"Entertainment and Recreation",Editing,"Graphic Design/Visual",1
"Human Resources and Staffing",Editing,"Graphic Design/Visual",2
"Technology and Telecommunications",Editing,"Graphic Design/Visual",1
"Education and Training","Editing Software","Graphic Design/Visual",1
"Human Resources and Staffing","Editing Software","Graphic Design/Visual",1
"Education and Training","Educational Administration",Strategy/Planning/Management,1
"Advertising and Marketing","Email Analytics",Quantitative/Analytics,1
"Advertising and Marketing","Email Lists",Other,1
"Advertising and Marketing","Email Marketing",Communication,1
"Construction and Real Estate","Email Marketing",Communication,1
"Facilities and Maintenance","Email Marketing",Communication,1
"Food and Beverage","Email Marketing",Communication,1
"Health and Medical","Email Marketing",Communication,1
"Human Resources and Staffing","Email Marketing",Communication,4
Manufacturing,"Email Marketing",Communication,1
"Retail and Wholesale","Email Marketing",Communication,1
"Travel and Tourism","Email Marketing",Communication,1
"Construction and Real Estate","Emissions Trading",Other,1
"Retail and Wholesale","Emotional Intelligence",Communication,1
"Technology and Telecommunications","Emotional Intelligence",Communication,1
"Advertising and Marketing","Employee Benefits",Strategy/Planning/Management,1
"Architecture and Design","Employee Benefits",Strategy/Planning/Management,1
"Business and Information Technology","Employee Benefits",Strategy/Planning/Management,1
"Construction and Real Estate","Employee Orientations",Strategy/Planning/Management,1
"Construction and Real Estate","Employee Relations",Communication,1
"Health and Medical","Employee Relations",Communication,1
"Human Resources and Staffing","Employee Relations",Communication,1
"Technology and Telecommunications",Enablement,Other,2
"Health and Medical",English,Other,2
"Human Resources and Staffing",English,Other,1
Others,English,Other,1
"Travel and Tourism",English,Other,1
"Advertising and Marketing",Entrepreneurship,Other,1
Others,Entrepreneurship,Other,1
"Construction and Real Estate",Errands,Other,1
"Travel and Tourism",Errands,Other,1
"Human Resources and Staffing",ESPPs,Other,2
"Health and Medical","Establishing Priorities",Other,1
"Health and Medical","Establishing Relationships",Communication,1
"Advertising and Marketing","Event Management",Strategy/Planning/Management,1
"Business and Information Technology","Event Management",Strategy/Planning/Management,1
"Advertising and Marketing","Event Marketing",Strategy/Planning/Management,3
"Construction and Real Estate","Event Marketing",Strategy/Planning/Management,1
"Human Resources and Staffing","Event Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Event Planning",Strategy/Planning/Management,5
"Human Resources and Staffing","Event Planning",Strategy/Planning/Management,5
"Retail and Wholesale","Event Planning",Strategy/Planning/Management,1
"Travel and Tourism","Event Planning",Strategy/Planning/Management,1
"Advertising and Marketing","Event Production",Strategy/Planning/Management,2
"Travel and Tourism","Event Production",Strategy/Planning/Management,1
"Advertising and Marketing",Events,Strategy/Planning/Management,6
"Automotive and Transportation",Events,Strategy/Planning/Management,1
"Entertainment and Recreation",Events,Strategy/Planning/Management,1
"Environmental and Energy",Events,Strategy/Planning/Management,1
"Health and Medical",Events,Strategy/Planning/Management,1
"Human Resources and Staffing",Events,Strategy/Planning/Management,2
Others,Events,Strategy/Planning/Management,1
"Travel and Tourism",Events,Strategy/Planning/Management,2
"Human Resources and Staffing","Executive Management",Strategy/Planning/Management,1
"Advertising and Marketing","Executive Support",Other,2
Manufacturing,"Executive Visibility",Other,1
"Advertising and Marketing","Expense Reports",Quantitative/Analytics,3
"Business and Information Technology","Expense Reports",Quantitative/Analytics,1
"Construction and Real Estate","Expense Reports",Quantitative/Analytics,1
"Environmental and Energy","Expense Reports",Quantitative/Analytics,1
"Business and Information Technology",Expenses,Strategy/Planning/Management,1
"Construction and Real Estate",Expenses,Strategy/Planning/Management,1
"Environmental and Energy",Expenses,Strategy/Planning/Management,1
"Government and Public Services",Expenses,Strategy/Planning/Management,1
Manufacturing,Expenses,Strategy/Planning/Management,1
"Travel and Tourism",Expenses,Strategy/Planning/Management,1
"Advertising and Marketing","Experiential Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Expert Communicator",Other,2
"Education and Training","External Communications",Communication,2
"Advertising and Marketing","Face-to-face Marketing",Sales,1
"Construction and Real Estate",Facilitation,Other,1
"Health and Medical",Facilitation,Other,5
"Human Resources and Staffing","Fashion Retail","Graphic Design/Visual",1
"Advertising and Marketing","Fast-Moving Consumer Goods (FMCG)",Other,1
"Advertising and Marketing","Field Marketing",Sales,3
"Human Resources and Staffing","Field Marketing",Sales,2
"Human Resources and Staffing","Financial Advisory",Quantitative/Analytics,1
"Human Resources and Staffing","Financial Analysis",Quantitative/Analytics,1
"Human Resources and Staffing","Financial Regulations",Other,1
"Business and Information Technology","Financial Reporting",Quantitative/Analytics,1
"Health and Medical","Financial Reporting",Quantitative/Analytics,1
"Retail and Wholesale","Financial Reporting",Quantitative/Analytics,1
"Human Resources and Staffing","Financial Software",Technology,1
"Education and Training","Fine Art","Graphic Design/Visual",1
"Human Resources and Staffing","Flawless Execution",Strategy/Planning/Management,1
"Human Resources and Staffing","Flow Charts",Other,1
"Construction and Real Estate","Follow Directions",Sales,1
"Travel and Tourism","Food Preparation",Other,1
Manufacturing,Football,Other,1
"Advertising and Marketing",Forecasting,Quantitative/Analytics,1
"Human Resources and Staffing","Foster Care",Other,2
